!!			
!!  偵察戦力緊急展開！「光」作戦 (2017年 冬)			
!!			
あとらんた	Atlanta	固有一般	Atlanta型軽巡洋艦 1番艦 CL-51
あとらんた	アトランタ	固有一般	Atlanta型軽巡洋艦 1番艦 CL-51
じゅのー	Juneau	固有一般	Atlanta型軽巡洋艦 2番艦 CL-52
じゅのー	ジュノー	固有一般	Atlanta型軽巡洋艦 2番艦 CL-52
さんでぃえご	San Diego	固有一般	Atlanta型軽巡洋艦 3番艦 CL-53
さんでぃえご	サンディエゴ	固有一般	Atlanta型軽巡洋艦 3番艦 CL-53
さんふぁん	San Juan	固有一般	Atlanta型軽巡洋艦 4番艦 CL-54
さんふぁん	サンファン	固有一般	Atlanta型軽巡洋艦 4番艦 CL-54
おーくらんど	Oakland	固有一般	Oakland型軽巡洋艦 1番艦 CL-95
おーくらんど	オークランド	固有一般	Oakland型軽巡洋艦 1番艦 CL-95
りの	Reno	固有一般	Oakland型軽巡洋艦 2番艦 CL-96
りの	リノ	固有一般	Oakland型軽巡洋艦 2番艦 CL-96
ふりんと	Flint	固有一般	Oakland型軽巡洋艦 3番艦 CL-97
ふりんと	フリント	固有一般	Oakland型軽巡洋艦 3番艦 CL-97
つーそん	Tucson	固有一般	Oakland型軽巡洋艦 4番艦 CL-98
つーそん	ツーソン	固有一般	Oakland型軽巡洋艦 4番艦 CL-98
!!			
!!  侵攻阻止！島嶼防衛強化作戦 (2020年 梅雨～夏)			
!!			
じんげい	迅鯨	固有一般	迅鯨型潜水母艦 1番艦
ちょうげい	長鯨	固有一般	迅鯨型潜水母艦 2番艦
い16	伊16	固有一般	巡潜丙型 1番艦
い18	伊18	固有一般	巡潜丙型 2番艦
い20	伊20	固有一般	巡潜丙型 3番艦
い22	伊22	固有一般	巡潜丙型 4番艦
い24	伊24	固有一般	巡潜丙型 5番艦
い46	伊46	固有一般	巡潜丙型 6番艦
い47	伊47	固有一般	巡潜丙型 7番艦
い48	伊48	固有一般	巡潜丙型 8番艦
だい2ごうかいぼうかん	第二号海防艦	固有一般	丁型海防艦 1番艦
だい4ごうかいぼうかん	第四号海防艦	固有一般	丁型海防艦 2番艦
だい6ごうかいぼうかん	第六号海防艦	固有一般	丁型海防艦 3番艦
だい8ごうかいぼうかん	第八号海防艦	固有一般	丁型海防艦 4番艦
だい10ごうかいぼうかん	第十号海防艦	固有一般	丁型海防艦 5番艦
だい12ごうかいぼうかん	第十二号海防艦	固有一般	丁型海防艦 6番艦
だい14ごうかいぼうかん	第十四号海防艦	固有一般	丁型海防艦 7番艦
だい16ごうかいぼうかん	第十六号海防艦	固有一般	丁型海防艦 8番艦
だい18ごうかいぼうかん	第十八号海防艦	固有一般	丁型海防艦 9番艦
だい20ごうかいぼうかん	第二十号海防艦	固有一般	丁型海防艦 10番艦
